Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0.00,540151.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,OFFICE EQUIPMENT MAINTENANCE,540151.00,0.00,0.00,2024
0.00,462318.00,Department of Education,7255,OFF OF INTERGOVERNMENTAL AFFAIRS,944933.26,944933.26,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,533966.00,0.00,0.00,2024
0.00,531835.00,Department of Education,4620,BEFORE/AFTER SCH TIME & EXTEND USE - HS,1032775.72,1032780.19,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV DIRECT EDUC SERV,531835.00,4.47,0.00,2024
0.00,520000.00,Department of Education,4801,SE CLASSROOM INSTRUCTION - E/M,144691.17,144691.17,SE INSTR & SCH LEADERSHIP - PS,0.00,TERMINAL LEAVE,520000.00,0.00,0.00,2024
1024.00,520000.00,Department of Education,1108,GENERAL EDUCATION BUSES,45976.00,47000.00,PUPIL TRANSPORTATION - OTPS,0.00,DATA PROCESSING EQUIPMENT,520000.00,0.00,0.00,2024
0.00,516514.00,Department of Education,2645,OPERATIONS,21963.56,21963.56,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,MAINT & OPER OF INFRASTRUCTURE,516514.00,0.00,0.00,2024
0.00,513147.00,Department of Education,1721,OPERATIONS AND MAINTENANCE,-70703.90,-70703.90,SCHOOL FACILITIES - OTPS,0.00,EQUIPMENT GENERAL,513147.00,0.00,0.00,2024
0.00,506250.00,Department of Education,7413,Financial Systems and Business Ops,1378827.74,1378827.74,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV COMPUTER SERVICES,506250.00,0.00,0.00,2024
0.00,505242.00,Department of Education,2644,SPECIAL EDUCATION ADMINISTRATION,66525.61,66525.61,SCHOOL SUPPORT ORGANIZATION,0.00,OVERTIME,505242.00,0.00,0.00,2024
0.00,504536.00,Department of Education,8816,REGIONAL & CITYWIDE INST & OPS ADMIN,2436684.20,2436684.20,CATEGORICAL PROGRAMS - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,504536.00,0.00,0.00,2024
0.00,500674.00,Department of Education,7259,OFFICE OF LABOR RELATIONS,302649.70,302649.70,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV LEGAL SERVICES,500674.00,0.00,0.00,2024
0.00,0.00,Department of Education,5105,INSTRUCTIONAL SUPPORT SERVICES - CWSPED,535385.39,535385.39,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,DATA PROCESSING SUPPLIES,500000.00,0.00,0.00,2024
0.00,500000.00,Department of Education,2128,NON-RESIDENT TUITION / FOSTER CARE,713178.58,713178.58,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,0.00,PROF SERV DIRECT EDUC SERV,500000.00,0.00,0.00,2024
0.00,0.00,Department of Education,L481,ARPA for Learning Loss,497500.00,497500.00,CATEGORICAL PROGRAMS - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,497500.00,0.00,0.00,2024
0.00,487411.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,543068.82,543068.82,CATEGORICAL PROGRAMS - OTPS,0.00,EQUIPMENT GENERAL,497411.00,0.00,0.00,2024
0.00,496687.00,Department of Education,8816,REGIONAL & CITYWIDE INST & OPS ADMIN,7851.65,7851.65,CATEGORICAL PROGRAMS - PS,0.00,TERMINAL LEAVE,496687.00,0.00,0.00,2024
0.00,493058.00,Department of Education,4901,SE CLASSROOM INSTRUCTION - HIGH SCHOOL,2582872.39,2582872.39,SE INSTR & SCH LEADERSHIP - PS,0.00,PARAPROFESSIONAL PER SESSION,493058.00,0.00,0.00,2024
0.00,488026.00,Department of Education,7303,Strategic Coordination & Planning,46230.75,46230.75,CENTRAL ADMINISTRATION - OTPS,0.00,TEMPORARY SERVICES,488026.00,0.00,0.00,2024
0.00,485181.00,Department of Education,5115,NYSTL - CITYWIDE SPECIAL EDUCATION,287415.15,287415.15,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,BOOKS-OTHER,485181.00,0.00,0.00,2024
0.00,483469.00,Department of Education,2645,OPERATIONS,0.00,0.00,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,PRINTING CONTRACTS,483469.00,0.00,0.00,2024
0.00,478770.00,Department of Education,4148,Literacy Collab on behalf of Schools,226982.00,226982.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV CURRIC & PROF DEVEL,478770.00,0.00,0.00,2024
0.00,477000.00,Department of Education,2640,Field Support Centers (FSC),29065.83,29065.83,SCHOOL SUPPORT ORGANIZATION,0.00,TERMINAL LEAVE,477000.00,0.00,0.00,2024
0.00,0.00,Department of Education,7902,City Council Member Items,476285.00,476285.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,DATA PROCESSING SUPPLIES,476285.00,0.00,0.00,2024
0.00,475096.00,Department of Education,8707,UPK DOE SCHOOLS/NYCEEC,2193104.67,2193104.67,UNIVERSAL PRE-K - PS,0.00,PARAPROFESSIONAL PER SESSION,475096.00,0.00,0.00,2024
1789.39,174798.00,Department of Education,1742,School Construction Authority,2664593.66,2666383.05,SCHOOL FACILITIES - OTPS,0.00,PROF SERV ENGINEER & ARCHITECT,474798.00,0.00,0.00,2024
0.00,42820.00,Department of Education,7435,OFF OF CURRICULUM INSTRUCTION & PD,429965.00,429965.00,CENTRAL ADMINISTRATION - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,472805.00,0.00,0.00,2024
0.00,0.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,470700.00,470700.00,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,PROF SERV ACCTING & AUDITING,470700.00,0.00,0.00,2024
0.00,409963.00,Department of Education,7272,Office of State Portfolio and Policy,607382.73,607382.73,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,469457.00,0.00,0.00,2024
0.00,464457.00,Department of Education,2127,Carter Cases,7620691.20,7620691.20,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,0.00,TRANSPORTATION OF PUPILS,464457.00,0.00,0.00,2024
0.00,455491.00,Department of Education,8816,REGIONAL & CITYWIDE INST & OPS ADMIN,278892.16,278892.16,CATEGORICAL PROGRAMS - PS,0.00,UNSALARIED,455491.00,0.00,0.00,2024
0.00,0.00,Department of Education,ECF1,ARPA Emergency Connectivity Fund,69129213.48,69129213.48,CATEGORICAL PROGRAMS - OTPS,0.00,TELEPHONE & OTHER COMMUNICATNS,453985.00,0.00,0.00,2024
0.00,0.00,Department of Information Technology and Telecommunications,1025,Gov Educational Access - Time Warner,453680.85,453680.85,MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,0.00,CONTRACTUAL SERVICES GENERAL,453681.00,0.00,0.00,2024
0.00,452589.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,6612.75,6612.75,CATEGORICAL PROGRAMS - OTPS,0.00,TEMPORARY SERVICES,452589.00,0.00,0.00,2024
0.00,452521.00,Department of Education,4811,RELATED SERVICES - ELEMENTARY/MIDDLE,0.00,0.00,SE INSTR & SCH LEADERSHIP -OTPS,0.00,PROF SERV DIRECT EDUC SERV,452521.00,0.00,0.00,2024
0.00,0.00,Department of Youth and Community Development,4022,ONS NYPD Mediation for DOHMH,227419.00,227419.00,OFFICE OF NEIGHBORHOOD SAFETY- OTPS,0.00,EDUCATION & REC FOR YOUTH PRGM,452419.00,0.00,0.00,2024
0.00,449865.00,Department of Education,6102,ULIT CENTRAL,0.00,0.00,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,PROF SERV OTHER,449865.00,0.00,0.00,2024
0.00,446037.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,INSTRUCTIONL SUPPLIES-BOE ONLY,446037.00,0.00,0.00,2024
0.00,428395.00,Department of Education,7208,DEPUTY CHANCELLOR of OPERATIONS,207778.36,207778.36,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,443313.00,0.00,0.00,2024
0.00,440000.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,264896.23,264896.23,SE INSTRUCTIONAL SUPPORT - PS,0.00,TERMINAL LEAVE,440000.00,0.00,0.00,2024
0.00,433386.00,Department of Education,8589,CW SE Reimbursable Support,140212.04,140212.04,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,439925.00,0.00,0.00,2024
0.00,435839.00,Department of Education,8844,REIMBURSEABLE SUPPORT - INDIRECT COST,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,TELECOMMUNICATIONS MAINT,435839.00,0.00,0.00,2024
0.00,431501.00,Department of Education,4811,RELATED SERVICES - ELEMENTARY/MIDDLE,127102.25,127102.25,SE INSTR & SCH LEADERSHIP - PS,0.00,FULL YEAR POSITIONS,435492.00,0.00,0.00,2024
0.00,697000.00,City University of New York,6810,ADULT CONTINUING EDUCATION SR,419104.80,419104.80,COMMUNITY COLLEGE PS,0.00,UNSALARIED,435000.00,0.00,0.00,2024
0.00,434400.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,7512.90,7512.90,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,PROF SERV CURRIC & PROF DEVEL,434400.00,0.00,0.00,2024
0.00,0.00,Department of Youth and Community Development,3606,TRANSITIONAL INDPT LIVING,423034.74,423034.74,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,423035.00,0.00,0.00,2024
0.00,421816.00,Department of Education,4664,BIG APPLE GAMES,0.00,0.00,GE INSTR & SCH LEADERSHIP - PS,0.00,UNSALARIED,421816.00,0.00,0.00,2024
0.00,420454.00,Department of Education,4320,BEFORE/AFTR SCH TIME & EXTEND - ELEM/MID,713381.20,713381.20,GE INSTR & SCH LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,420454.00,0.00,0.00,2024
0.00,420136.00,Department of Education,2639,School Support Organization,164184.92,164184.92,SCHOOL SUPPORT ORGANIZATION,0.00,FULL YEAR POSITIONS,420136.00,0.00,0.00,2024
0.00,419360.00,Department of Education,2644,SPECIAL EDUCATION ADMINISTRATION,1728073.45,1728073.45,SCHOOL SUPPORT ORGANIZATION,0.00,PARAPROFESSIONAL PER SESSION,419360.00,0.00,0.00,2024
0.00,416020.00,Department of Education,4648,GE Central Managed Sch Supp,74635.78,74635.78,GE INSTR & SCH LEADERSHIP - OTPS,0.00,LIBRARY BOOKS,416020.00,0.00,0.00,2024
0.00,415647.00,Department of Education,8870,REIMBURSEABLE SUPPORT - NPS,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,INSTRUCTIONL SUPPLIES-BOE ONLY,415647.00,0.00,0.00,2024
0.00,409666.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,262455.59,262455.59,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,DATA PROCESSING SUPPLIES,409666.00,0.00,0.00,2024
0.00,402036.00,Department of Education,A408,ARPA for Prek,398259.97,398259.97,UNIVERSAL PRE-K - PS,0.00,PARAPROFESSIONAL PER SESSION,402036.00,0.00,0.00,2024
0.00,401035.00,Department of Education,2744,CITYWIDE ADMINISTRATION,0.00,0.00,SCHOOL SUPPORT ORGANIZATION,0.00,UNSALARIED,401035.00,0.00,0.00,2024
0.00,400474.00,Department of Education,8816,REGIONAL & CITYWIDE INST & OPS ADMIN,1000471.30,1000471.30,CATEGORICAL PROGRAMS - PS,0.00,SOCIAL SECURITY CONTRIBUTIONS,400474.00,0.00,0.00,2024
0.00,400000.00,Department of Education,1731,PROGRAM MANAGMENT & CONTRACT MAINTENANCE,125395.26,125395.26,SCHOOL FACILITIES - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,400000.00,0.00,0.00,2024
0.00,400000.00,Department of Education,1731,PROGRAM MANAGMENT & CONTRACT MAINTENANCE,478911.11,478911.11,SCHOOL FACILITIES - OTPS,0.00,MAINT & REP MOTOR VEH EQUIP,400000.00,0.00,0.00,2024
751514.42,400000.00,Department of Education,1108,GENERAL EDUCATION BUSES,3578642.58,4330157.00,PUPIL TRANSPORTATION - OTPS,0.00,PROF SERV DIRECT EDUC SERV,400000.00,0.00,0.00,2024
0.00,402449.00,Department of Education,4221,YMI-Centrally Managed for Schools,34999.00,34999.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV OTHER,398449.00,0.00,0.00,2024
0.00,388094.00,Department of Education,5406,SBST - ELEM / MIDD / HS / CW,91179.55,91179.55,SE INSTRUCTIONAL SUPPORT - PS,0.00,LONGEVITY DIFFERENTIAL,388094.00,0.00,0.00,2024
0.00,385047.00,Department of Education,8907,UPK DOE FIELD,450980.55,450980.55,UNIVERSAL PRE-K - PS,0.00,SUPPLEMENTAL EMPLOYEE WELF BEN,385047.00,0.00,0.00,2024
0.00,385030.00,Department of Education,2647,COMMITTEE ON SPECIAL EDUCATION,359590.02,359590.02,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,EQUIPMENT GENERAL,385030.00,0.00,0.00,2024
0.00,330881.00,Department of Education,7415,OFFICE OF BILINGUAL ED -ELL OFFICE,679983.63,679983.63,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,383168.00,0.00,0.00,2024
0.00,380913.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,37151.21,37151.21,CATEGORICAL PROGRAMS - OTPS,0.00,EQUIPMENT GENERAL,380913.00,0.00,0.00,2024
0.00,125000.00,Police Department,2401,YOUTH DIVISION,378234.44,378234.44,EXECUTIVE MANAGEMENT-OTPS,0.00,EDUCATION & REC FOR YOUTH PRGM,378235.00,0.00,0.00,2024
0.00,366928.00,Department of Education,4221,YMI-Centrally Managed for Schools,361332.77,361332.77,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL YEAR POSITIONS,375586.00,0.00,0.00,2024
0.00,350278.00,Department of Education,4805,SE INSTRUCTIONAL SUPPORT SERVICES - E/M,2107204.73,2107204.73,SE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,372941.00,0.00,0.00,2024
0.00,372019.00,Department of Education,8870,REIMBURSEABLE SUPPORT - NPS,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,TEMPORARY SERVICES,372019.00,0.00,0.00,2024
0.00,354542.00,Department of Education,7339,Div of Support Services,140506.64,140506.64,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,370608.00,0.00,0.00,2024
0.00,370407.00,Department of Education,5101,CLASSRM INST & SCH SUPERVISION - CWSPED,121810.13,121810.13,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,LIBRARY BOOKS,370407.00,0.00,0.00,2024
0.00,370000.00,Department of Education,5511,NURSES,388541.71,388541.71,SE INSTRUCTIONAL SUPPORT - PS,0.00,TERMINAL LEAVE,370000.00,0.00,0.00,2024
0.00,368160.00,Department of Education,2648,Youth & Parents,113720.27,113720.27,SCHOOL SUPPORT ORGANIZATION,0.00,UNSALARIED,368160.00,0.00,0.00,2024
0.00,363500.00,Department of Education,4660,LYFE PROGRAM,690281.04,690281.04,GE INSTR & SCH LEADERSHIP - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,363500.00,0.00,0.00,2024
0.00,355183.00,Department of Education,7339,Div of Support Services,174342.45,174342.45,CENTRAL ADMINISTRATION - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,362737.00,0.00,0.00,2024
0.00,360000.00,Department of Education,4648,GE Central Managed Sch Supp,714140.92,714140.92,GE INSTR & SCH LEADERSHIP - OTPS,0.00,MAINT & OPER OF INFRASTRUCTURE,360000.00,0.00,0.00,2024
0.00,357343.00,Department of Education,7719,DIIT,19394.00,19394.00,CENTRAL ADMINISTRATION - OTPS,0.00,MAINT & OPER OF INFRASTRUCTURE,357343.00,0.00,0.00,2024
0.00,355680.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,312081.47,312081.47,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV OTHER,355680.00,0.00,0.00,2024
0.00,350000.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,55561.54,55561.54,GE INSTR & SCH LEADERSHIP - PS,0.00,SUPPER MONEY,350000.00,0.00,0.00,2024
0.00,350000.00,Department of Education,4648,GE Central Managed Sch Supp,3596.45,3596.45,GE INSTR & SCH LEADERSHIP - PS,0.00,ASSIGNMENT DIFFERENTIAL,350000.00,0.00,0.00,2024
0.00,348170.00,Department of Education,2647,COMMITTEE ON SPECIAL EDUCATION,249632.90,249632.90,SCHOOL SUPPORT ORGANIZATION,0.00,UNSALARIED,348170.00,0.00,0.00,2024
0.00,326130.00,Department of Education,4662,PSAL,387332.34,387332.34,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,338781.00,0.00,0.00,2024
0.00,338217.00,Department of Education,8807,UPK DOE CENTRAL,-1018.68,-1018.68,UNIVERSAL PRE-K - OTPS,0.00,TELEPHONE & OTHER COMMUNICATNS,338217.00,0.00,0.00,2024
0.00,340931.00,City University of New York,6310,ADULT CONTINUING EDUCATION SR,93868.54,93868.54,COMMUNITY COLLEGE PS,0.00,UNSALARIED,336931.00,0.00,0.00,2024
2830.00,334989.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,104637.48,107467.48,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TRANSPORTATION EXPENDITURES,334989.00,0.00,0.00,2024
0.00,334255.00,Department of Education,4221,YMI-Centrally Managed for Schools,189325.64,189325.64,GE INSTR & SCH LEADERSHIP - PS,0.00,PARAPROFESSIONAL PER SESSION,334255.00,0.00,0.00,2024
0.00,0.00,Department of Information Technology and Telecommunications,1377,"20 UASI - Education, Awreness & Training",0.00,0.00,NEW YORK CITY CYBER COMMAND,0.00,CONTRACTUAL SERVICES GENERAL,333995.00,0.00,0.00,2024
0.00,331950.00,Department of Education,4605,INSTRUCTIONAL SUPPORT SERVICES - HS,0.00,0.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,INSTRUCTIONL SUPPLIES-BOE ONLY,331950.00,0.00,0.00,2024
0.00,331300.00,Department of Education,1226,WAREHOUSE AND DISTRIBUTION,0.00,0.00,SCHOOL FOOD SERVICES - OTPS,0.00,MAINT & REP MOTOR VEH EQUIP,331300.00,0.00,0.00,2024
0.00,294158.00,Department of Education,7208,DEPUTY CHANCELLOR of OPERATIONS,478656.60,478656.60,CENTRAL ADMINISTRATION - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,327909.00,0.00,0.00,2024
0.00,324250.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,TRANSPORTATION EXPENDITURES,324250.00,0.00,0.00,2024
0.00,5600.00,Department of Education,7701,DIVISION OF FINANCE OPERATIONS,415173.16,415173.16,CENTRAL ADMINISTRATION - OTPS,0.00,TEMPORARY SERVICES,323225.00,0.00,0.00,2024
0.00,297654.00,Department of Education,7302,Office of Strategic Initiatives,322237.00,322237.00,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,323222.00,0.00,0.00,2024
0.00,322319.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,520239.12,584976.24,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,TEMPORARY SERVICES,322319.00,64737.12,0.00,2024
0.00,393056.00,Department of Education,4221,YMI-Centrally Managed for Schools,576789.24,576789.24,GE INSTR & SCH LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,322056.00,0.00,0.00,2024
0.00,322000.00,Department of Education,4811,RELATED SERVICES - ELEMENTARY/MIDDLE,539921.17,539921.17,SE INSTR & SCH LEADERSHIP - PS,0.00,TERMINAL LEAVE,322000.00,0.00,0.00,2024
0.00,320350.00,Department of Education,2644,SPECIAL EDUCATION ADMINISTRATION,483595.78,483595.78,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,320350.00,0.00,0.00,2024
0.00,319800.00,Department of Education,2646,Field-Based Supervision and Support,25000.00,25000.00,SCHOOL SUPPORT ORGANIZATION OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,319800.00,0.00,0.00,2024
0.00,318001.00,Department of Education,1226,WAREHOUSE AND DISTRIBUTION,0.00,0.00,SCHOOL FOOD SERVICES - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,318001.00,0.00,0.00,2024
0.00,315039.00,Department of Education,7701,DIVISION OF FINANCE OPERATIONS,434846.48,434846.48,CENTRAL ADMINISTRATION - PS,0.00,LONGEVITY DIFFERENTIAL,315039.00,0.00,0.00,2024
0.00,335131.00,Department of Education,7107,SPECIAL COMMISSIONER OF INVESTIGATIONS,250000.00,250000.00,CENTRAL ADMINISTRATION - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,315007.00,0.00,0.00,2024
0.00,312097.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,42011.41,42011.41,GE INSTR & SCH LEADERSHIP - PS,0.00,LONGEVITY DIFFERENTIAL,312097.00,0.00,0.00,2024
106499.04,311841.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,1110155.40,1216654.44,CATEGORICAL PROGRAMS - OTPS,0.00,PRINTING CONTRACTS,311841.00,0.00,0.00,2024
0.00,307768.00,Administration for Children's Services,0675,SPECIAL EDUCATION,1091710.50,1091710.50,PERSONAL SERVICES,0.00,FULL YEAR POSITIONS,307768.00,0.00,0.00,2024
0.00,305907.00,Department of Education,7251,OSEPO,579160.03,579160.03,CENTRAL ADMINISTRATION - OTPS,0.00,TEMPORARY SERVICES,305907.00,0.00,0.00,2024
0.00,303164.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,158617.18,158617.18,GE INSTR & SCH LEADERSHIP - OTPS,0.00,EQUIPMENT GENERAL,303164.00,0.00,0.00,2024
0.00,301514.00,Department of Education,7265,OFFICE OF LEGAL SERVICES,0.00,0.00,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV ACCTING & AUDITING,301514.00,0.00,0.00,2024
0.00,262198.00,Department of Education,7201,OFFICE OF THE CHANCELLOR,435824.83,435824.83,CENTRAL ADMINISTRATION - PS,0.00,FULL YEAR POSITIONS,300512.00,0.00,0.00,2024
0.00,260181.00,Department of Education,7201,OFFICE OF THE CHANCELLOR,400536.12,400536.12,CENTRAL ADMINISTRATION - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,300454.00,0.00,0.00,2024
0.00,1670000.00,Department of Information Technology and Telecommunications,9600,MOME -AI-WF Dev & Education,126000.00,126000.00,MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,0.00,CONTRACTUAL SERVICES-GENERAL,300112.00,0.00,0.00,2024
0.00,300000.00,Department of Education,8870,REIMBURSEABLE SUPPORT - NPS,0.00,0.00,CATEGORICAL PROGRAMS - OTPS,0.00,PROF SERV COMPUTER SERVICES,300000.00,0.00,0.00,2024
0.00,300000.00,Department of Education,5183,TL Match for Chp 683,255301.38,255301.38,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,LONGEVITY DIFFERENTIAL,300000.00,0.00,0.00,2024
0.00,0.00,Department of Education,CR04,FRF Journal,322181.97,322181.97,GE INSTR & SCH LEADERSHIP - PS,0.00,LONGEVITY DIFFERENTIAL,299395.00,0.00,0.00,2024
0.00,298808.00,Department of Education,6102,ULIT CENTRAL,0.00,0.00,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,298808.00,0.00,0.00,2024
0.00,0.00,Department of Information Technology and Telecommunications,1015,GOV EDUCATIONAL ACCESS GRANT,297222.04,297222.04,MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,0.00,TELECOMMUNICATIONS EQUIPMENT,297223.00,0.00,0.00,2024
15743.00,0.00,Department of Education,A408,ARPA for Prek,272073.50,287816.50,UNIVERSAL PRE-K - OTPS,0.00,PROF SERV DIRECT EDUC SERV,295692.00,0.00,0.00,2024
1225.00,292860.00,Department of Education,8707,UPK DOE SCHOOLS/NYCEEC,36990.20,38215.20,UNIVERSAL PRE-K - OTPS,0.00,BOOKS-OTHER,292860.00,0.00,0.00,2024
0.00,290000.00,Department of Education,1229,DIRECT FIELD OPERATIONS,720469.89,721323.89,SCHOOL FOOD SERVICES - OTPS,0.00,PRINTING CONTRACTS,290000.00,854.00,0.00,2024
0.00,289553.00,Department of Education,5183,TL Match for Chp 683,84214.53,84214.53,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,289553.00,0.00,0.00,2024
0.00,289117.00,Department of Education,1229,DIRECT FIELD OPERATIONS,0.00,0.00,SCHOOL FOOD SERVICES - OTPS,0.00,DATA PROCESSING EQUIPMENT,289117.00,0.00,0.00,2024
0.00,287689.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,65245.58,65245.58,GE INSTR & SCH LEADERSHIP - PS,0.00,PART-TIME POSITIONS,287689.00,0.00,0.00,2024
0.00,287000.00,Department of Education,6107,ULIT SCHOOLS,0.00,0.00,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,287000.00,0.00,0.00,2024
0.00,0.00,Department of Education,M003,Asylum Seekers,51230.24,51230.24,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,286665.00,0.00,0.00,2024
0.00,285000.00,Department of Education,5111,RELATED SERVICES - CITYWIDE SPECIAL EDUC,2055676.53,2055676.53,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,ALLOWANCE FOR UNIFORMS,285000.00,0.00,0.00,2024
37607.81,283795.00,Department of Education,8888,REIMBUR SUP-CENTL SCH SUP PROG & SERV,245665.67,283273.48,CATEGORICAL PROGRAMS - OTPS,0.00,DATA PROCESSING EQUIPMENT,283795.00,0.00,0.00,2024
0.00,270137.00,Department of Education,1229,DIRECT FIELD OPERATIONS,109386.76,109386.76,SCHOOL FOOD SERVICES - PS,0.00,PART-TIME POSITIONS,282321.00,0.00,0.00,2024
0.00,282105.00,Department of Education,7315,RECRUITMENT,0.00,0.00,CENTRAL ADMINISTRATION - OTPS,0.00,PROF SERV OTHER,282105.00,0.00,0.00,2024
0.00,265370.00,Department of Education,4648,GE Central Managed Sch Supp,97647.20,97647.20,GE INSTR & SCH LEADERSHIP - PS,0.00,PART-TIME POSITIONS,280127.00,0.00,0.00,2024
0.00,279189.00,Department of Education,8918,PRE-K FOR THREE-YEAR-OLDS FIELD,9624902.19,9624902.19,UNIVERSAL PRE-K - PS,0.00,SOCIAL SECURITY CONTRIBUTIONS,279189.00,0.00,0.00,2024
0.00,275028.00,Department of Education,4221,YMI-Centrally Managed for Schools,80000.00,80000.00,GE INSTR & SCH LEADERSHIP - OTPS,0.00,TRAINING PRGM CITY EMPLOYEES,275028.00,0.00,0.00,2024
0.00,275000.00,Department of Education,7238,Special Education Initiatives,9074.66,9074.66,CENTRAL ADMINISTRATION - PS,0.00,LONGEVITY DIFFERENTIAL,275000.00,0.00,0.00,2024
