Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0.00,101955291.00,Department of Education,1092,School Safety Fringe,88568400.71,88568400.71,SCHOOL SAFETY - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,91711803.00,0.00,0.00,2023
0.00,89411947.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,42309441.46,42309441.46,CATEGORICAL PROGRAMS - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,89411947.00,0.00,0.00,2023
0.00,8277533.00,Department of Education,C435,CRRSA for Facilities,87574856.32,87574856.32,SCHOOL FACILITIES - OTPS,0.00,MAINT & OPER OF INFRASTRUCTURE,87555819.00,0.00,0.00,2023
0.00,130608854.00,Department of Education,A481,ARPA for Schools,18513341.87,18513341.87,CATEGORICAL PROGRAMS - PS,0.00,PARAPROFESSIONAL PER SESSION,84358654.00,0.00,0.00,2023
0.00,76621011.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,23489258.98,23489258.98,GE INSTR & SCH LEADERSHIP - PS,0.00,PARAPROFESSIONAL PER SESSION,76621011.00,0.00,0.00,2023
0.00,67297973.00,Department of Education,1229,DIRECT FIELD OPERATIONS,70804526.19,70804526.19,SCHOOL FOOD SERVICES - PS,0.00,FULL YEAR POSITIONS,73232665.00,0.00,0.00,2023
10486547.24,66748775.00,Department of Education,8406,Head Start,92888281.82,103502646.81,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,HEAD START,70640443.00,127817.75,0.00,2023
0.00,70266160.00,Department of Education,5111,RELATED SERVICES - CITYWIDE SPECIAL EDUC,83234372.16,83234372.16,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,FULL YEAR POSITIONS,70266160.00,0.00,0.00,2023
0.00,0.00,Department of Small Business Services,1824,EDC/DOE Early Childhood Education Fund,48163197.99,70000000.00,ECONOMIC DEVELOPMENT CORP.,0.00,CONTRACTUAL SERVICES GENERAL,70000000.00,21836802.01,0.00,2023
0.00,59867982.00,Department of Education,2130,FIT PAYMENTS,69862992.00,69862992.00,NPS & FIT PMTS - OTPS,0.00,PMNTS FASHION INSTITUT TECHNOL,69862992.00,0.00,0.00,2023
0.00,52739525.00,Department of Education,1487,FUEL,63107100.23,72335039.36,ENERGY AND LEASES - OTPS,0.00,FUEL OIL,66599819.00,9227939.13,0.00,2023
0.00,65067551.00,Department of Education,2640,Field Support Centers (FSC),2889984.36,2889984.36,SCHOOL SUPPORT ORGANIZATION,0.00,FULL TIME PEDAGOGICAL PRSONNEL,64027120.00,0.00,0.00,2023
